Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Germany,MtCO2e,1077.16,1049.84,1004.45,995.96,986.38,982.02,1012.11,974.96,951.88,914.04,906.43,958.16,941.97,943.14,926.57,904.60,913.40,884.97,887.83,831.35,861.83,821.26,834.47,850.84,809.96,814.64,817.47,800.21,771.48
Italy,MtCO2e,448.75,446.34,443.33,437.37,432.42,457.85,454.43,458.31,469.74,477.37,482.85,481.26,490.55,509.42,521.14,522.52,510.60,503.81,488.78,439.76,448.37,437.82,419.63,387.63,367.92,379.58,396.95,391.74,385.22
France,MtCO2e,471.02,496.09,481.51,462.52,456.82,465.53,485.26,475.91,491.96,482.75,481.14,444.92,437.95,443.12,441.29,442.60,432.73,426.00,419.99,402.20,406.15,395.62,399.26,400.17,366.68,372.12,371.62,374.26,360.76
Poland,MtCO2e,407.18,406.01,395.06,395.62,390.47,390.21,404.83,394.45,365.47,354.92,341.25,280.73,274.29,285.78,289.93,291.35,305.72,306.25,300.04,285.25,303.69,344.31,337.34,331.54,318.34,321.50,326.54,339.46,337.70
Spain,MtCO2e,232.97,239.06,248.91,234.11,247.01,260.74,254.12,275.57,285.01,309.60,326.92,348.63,365.33,374.33,390.45,405.09,399.09,415.37,382.06,345.31,330.13,340.89,334.52,308.14,306.84,317.43,301.85,318.40,311.00
Netherlands,MtCO2e,203.82,209.14,208.48,213.82,213.45,218.67,229.53,221.47,221.68,209.39,207.40,208.19,207.98,207.92,209.65,203.87,199.22,198.71,196.04,190.97,201.63,188.71,187.09,186.76,179.56,187.82,188.71,184.71,178.62
Czech Republic,MtCO2e,172.53,155.82,151.40,146.75,139.45,139.38,140.99,138.51,131.91,123.83,134.66,136.86,131.25,135.60,136.14,133.07,134.07,137.03,131.99,124.37,125.80,126.35,123.67,117.91,114.51,116.83,117.17,116.77,115.40
Belgium,MtCO2e,126.86,131.77,129.82,127.62,132.98,133.14,138.49,135.31,138.07,134.22,134.25,135.68,128.35,131.74,130.29,126.54,123.54,118.87,121.13,114.16,121.73,110.77,109.55,110.53,104.15,109.06,110.54,108.47,109.22
Greece,MtCO2e,94.31,94.38,96.46,96.82,99.44,103.87,104.96,106.03,110.23,111.13,116.94,117.31,117.70,121.03,120.67,122.75,121.10,124.63,120.66,113.88,107.16,107.33,102.34,94.67,91.59,89.85,88.57,88.18,85.45
Romania,MtCO2e,224.74,186.41,166.73,155.93,151.83,157.38,161.04,149.46,133.45,117.65,121.63,123.19,120.27,125.19,123.55,122.97,126.55,124.20,122.18,106.40,103.54,-174.27,-176.58,-185.86,-186.55,-184.27,76.46,79.25,79.91
Austria,MtCO2e,63.14,67.42,61.60,61.53,61.60,64.08,67.86,66.81,66.81,65.00,65.18,76.84,78.17,83.28,84.11,84.19,81.93,78.89,78.46,71.55,77.34,74.46,71.26,71.80,68.08,69.27,69.60,71.53,68.32
Hungary,MtCO2e,90.72,85.68,75.79,76.26,75.99,74.30,76.51,74.82,74.74,75.52,72.54,75.44,73.79,76.52,75.35,74.66,73.95,71.77,70.39,64.55,64.51,62.83,58.95,56.59,56.89,59.82,60.78,62.81,62.90
Portugal,MtCO2e,57.74,59.47,63.51,62.42,64.33,68.09,66.50,68.82,74.02,80.72,80.24,78.64,83.66,78.82,80.70,83.78,78.52,77.13,74.87,74.08,68.68,66.40,64.70,63.02,62.61,66.72,66.88,71.85,66.75
Ireland,MtCO2e,54.02,54.55,54.72,55.37,56.79,57.60,58.95,60.38,63.67,65.39,68.59,71.17,70.42,70.68,69.90,71.16,71.75,70.01,69.05,63.80,62.44,58.70,60.07,59.12,59.29,61.18,63.20,62.70,60.90
Finland,MtCO2e,38.54,38.43,35.32,36.56,43.21,39.23,45.69,43.79,40.18,39.51,38.20,59.34,61.78,69.97,66.11,53.93,65.35,63.52,55.43,51.80,59.98,12.10,6.46,7.24,3.20,-0.28,63.65,60.86,62.43
Denmark,MtCO2e,69.19,80.01,73.80,76.43,80.07,76.91,90.40,80.70,76.70,73.80,70.00,71.41,70.73,76.25,70.04,66.32,74.05,69.27,65.75,62.86,63.14,55.79,50.70,52.12,47.94,45.93,50.28,47.97,47.43
Slovakia,MtCO2e,57.24,49.16,46.63,44.00,41.32,41.90,41.91,41.77,40.63,39.17,36.55,38.19,37.74,38.00,37.31,38.14,37.70,36.74,36.77,33.13,34.66,33.95,31.59,32.25,29.61,30.04,37.44,39.37,38.81
Sweden,MtCO2e,70.51,71.12,73.70,73.66,75.49,75.09,80.68,74.48,75.30,74.00,69.99,55.28,56.65,57.68,56.26,52.64,51.15,49.09,47.94,44.06,49.72,34.58,31.80,30.02,28.72,28.65,33.74,33.42,30.88
Lithuania,MtCO2e,45.75,47.54,32.77,26.87,24.84,23.25,24.03,23.82,24.71,21.95,20.25,20.19,20.54,20.71,21.67,22.80,22.93,23.94,23.38,19.79,20.60,13.97,13.89,12.99,12.52,12.78,18.28,18.20,18.28
Croatia,MtCO2e,27.73,21.39,22.39,23.24,23.32,24.63,23.79,25.40,25.81,25.33,24.38,25.20,26.25,27.36,27.08,27.02,27.74,29.26,28.44,25.88,25.32,24.39,22.40,21.30,20.50,21.11,18.33,18.98,17.87
Bulgaria,MtCO2e,76.47,59.48,53.66,52.22,48.27,49.49,50.06,46.97,43.39,36.57,36.03,36.59,33.91,38.77,37.52,37.51,37.46,41.66,39.25,31.76,33.41,50.74,45.00,39.85,42.43,45.14,20.39,22.63,19.42
Slovenia,MtCO2e,7.90,6.89,6.61,7.35,7.40,8.23,9.03,9.50,9.24,8.58,8.38,7.19,7.27,7.23,7.44,7.69,8.02,7.99,8.97,6.99,7.29,16.12,15.51,14.88,13.38,13.48,17.26,17.45,17.32
Estonia,MtCO2e,37.73,33.85,25.92,20.07,19.13,17.50,18.36,17.90,17.41,16.58,16.24,16.70,16.29,18.28,18.44,18.59,17.37,21.43,19.87,16.44,20.48,14.75,13.51,15.95,14.60,12.21,20.62,21.37,19.98
Luxembourg,MtCO2e,11.55,12.04,11.74,11.95,11.10,8.96,9.04,8.54,7.87,8.26,8.88,9.49,10.28,10.69,12.15,12.38,12.18,11.59,11.52,10.93,11.52,11.66,11.43,10.90,10.40,9.88,9.57,9.73,10.03
Latvia,MtCO2e,12.42,10.70,8.03,4.85,1.88,0.21,0.20,-0.37,-0.79,-1.44,-2.13,-2.78,-2.74,-2.59,-2.50,-2.33,-1.79,-1.36,-1.68,-2.46,-1.31,9.20,9.00,8.92,8.84,8.89,8.62,8.56,9.10
Cyprus,MtCO2e,5.37,5.90,6.33,6.60,6.85,6.74,7.13,7.21,7.54,7.82,8.09,7.81,8.04,8.71,8.65,8.76,8.90,9.23,9.45,9.27,8.95,8.64,8.13,7.42,7.82,7.90,8.35,8.49,8.31
Malta,MtCO2e,2.53,2.43,2.41,3.06,2.76,2.63,2.58,2.73,2.64,2.68,2.41,2.78,2.62,2.92,2.93,2.98,3.06,3.15,3.09,2.90,3.00,2.99,3.17,2.84,2.86,2.18,1.88,2.02,2.04
Data source,CAIT
Data for,Location: European Union (27). Sectors/Subsectors: Total including LUCF. Gases: All GHG. Calculation: Total. Show data by Countries